,,,LE COZY,,,,,,,,,,,,,,,,,,
,,,112 Rue de Bagnolet,,,,,,,,,,,,,,,,,,
,,,PARIS 20ème,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Billetterie N° 1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,ENCAISSEMENTS:,,,,,3426.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
,TOTAL:,TOTAL (€) :,Annulations:,Offerts:,Articles: ,1 VETEMENT,2 VETEMENTS,,1 PETIT SAC,1 GROS SAC,1 CASQUE,CIGARETTE,CAFE,,,,,,,,
,,,,,Prix Unitaire:,2.0,4.0,,2.0,4.0,2.0,10.0,2.0,,,,,,,,
0h - 1h,,,,,,,,,,,,,,,,,,,,,
1h - 2h,,,,,,,,,,,,,,,,,,,,,
2h - 3h,,,,,,,,,,,,,,,,,,,,,
3h - 4h,,,,,,,,,,,,,,,,,,,,,
4h - 5h,,,,,,,,,,,,,,,,,,,,,
5h - 6h,,,,,,,,,,,,,,,,,,,,,
6h - 7h,,,,,,,,,,,,,,,,,,,,,
7h - 8h,,,,,,,,,,,,,,,,,,,,,
8h - 9h,96.0,216.0,,4.0,,35.0,4.0,,46.0,8.0,3.0,,,,,,,,,,
9h - 10h,123.0,276.0,,3.0,,45.0,5.0,,60.0,10.0,3.0,,,,,,,,,,
10h - 11h,169.0,370.0,,,,65.0,5.0,,85.0,11.0,3.0,,,,,,,,,,
11h - 12h,127.0,288.0,,,,42.0,5.0,,62.0,12.0,6.0,,,,,,,,,,
12h - 13h,115.0,262.0,,2.0,,36.0,2.0,,63.0,6.0,6.0,2.0,,,,,,,,,
13h - 14h,181.0,378.0,,,,56.0,3.0,,112.0,5.0,5.0,,,,,,,,,,
14h - 15h,204.0,454.0,,,,67.0,7.0,,110.0,12.0,7.0,1.0,,,,,,,,,
15h - 16h,262.0,580.0,,,,89.0,8.0,,135.0,20.0,10.0,,,,,,,,,,
16h - 17h,175.0,398.0,,2.0,,56.0,5.0,,95.0,15.0,3.0,1.0,,,,,,,,,
17h - 18h,56.0,128.0,,,,20.0,2.0,,26.0,6.0,2.0,,,,,,,,,,
18h - 19h,35.0,76.0,7.0,,,10.0,1.0,,21.0,2.0,1.0,,,,,,,,,,
19h - 20h,,,,,,,,,,,,,,,,,,,,,
20h - 21h,,,,,,,,,,,,,,,,,,,,,
21h - 22h,,,,,,,,,,,,,,,,,,,,,
22h - 23h,,,,,,,,,,,,,,,,,,,,,
23h - 24h,,,,,,,,,,,,,,,,,,,,,
TOTAL Jour :,1543.0,3426.0,7.0,11.0,0.0,521.0,47.0,0.0,815.0,107.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
